company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
ECOS (India) Mobility & Hospitality Ltd.,2024,2024-09-04,0.325748502994012,ECOS__India__Mobility___Hospitality_Ltd_,187306,29194,79,79,0,,False,4,4,10,0,0,0,0,0,0,0,9,11,0,0,0,ok,ok
Baazar Style Retail Ltd.,2024,2024-09-06,0.0273778920308482,Baazar_Style_Retail_Ltd_,155927,24516,73,73,0,,False,0,13,0,7,0,1,0,3,4,0,10,6,0,0,1,ok,ok
Gala Precision Engineering Ltd.,2024,2024-09-09,0.4878071833648392,Gala_Precision_Engineering_Ltd_,155721,24150,77,77,0,,False,1,2,1,0,0,3,0,0,4,0,6,8,9,0,0,ok,ok
Shree Tirupati Balajee Agro Trading Co.Ltd.,2024,2024-09-12,0.1751807228915663,Shree_Tirupati_Balajee_Agro_Trading_Co_Ltd_,167782,25598,89,89,0,,False,1,5,2,0,0,1,0,0,6,0,5,4,0,0,0,ok,ok
Tolins Tyres Ltd.,2024,2024-09-16,0.054424778761062,Tolins_Tyres_Ltd_,227298,34962,93,100,7,"93,94,95,96,97,98,99",False,0,5,0,3,0,1,0,0,5,0,5,5,0,0,0,ok_B_endash_pre,ok_patched
Kross Ltd.,2024,2024-09-16,0.08125,Kross_Ltd_,188399,29271,81,82,1,74,False,0,2,5,1,0,1,0,0,8,0,8,3,0,0,2,ok,ok
Bajaj Housing Finance Ltd.,2024,2024-09-16,1.3570000000000002,Bajaj_Housing_Finance_Ltd_,200232,31125,69,75,6,"2,6,7,18,44,73",False,6,16,5,0,0,2,0,0,7,0,6,9,13,2,0,ok,ok
P N Gadgil Jewellers Ltd.,2024,2024-09-17,0.6516666666666666,P_N_Gadgil_Jewellers_Ltd_,201624,31434,75,75,0,,False,1,1,0,0,0,1,0,0,7,0,11,3,1,6,0,ok,ok
Northern Arc Capital Ltd.,2024,2024-09-24,0.2304182509505704,Northern_Arc_Capital_Ltd_,237388,36821,91,91,0,,False,2,8,0,0,0,1,0,4,8,0,8,13,22,0,0,ok,ok
Arkade Developers Ltd.,2024,2024-09-24,0.2957031249999999,Arkade_Developers_Ltd_,142336,22342,74,74,0,,False,0,4,0,0,0,2,0,0,6,0,4,6,0,0,0,ok,ok
